%time,field.data
1698138203521321058,3.227
1698138203548402070,3.227
1698138203621215105,3.227
1698138203648359060,3.227
1698138203721301078,3.227
1698138203748275995,3.227
1698138203821683883,3.227
1698138203848716974,3.227
1698138203921346902,3.227
1698138203948344945,3.227
1698138204021915912,3.227
1698138204048427104,3.227
1698138204121704101,3.227
1698138204148474931,3.227
1698138204221332073,3.227
1698138204248239994,3.227
1698138204321345090,3.227
1698138204348485946,3.227
1698138204421818017,3.227
1698138204448736906,3.227
1698138204521661996,3.227
1698138204548405885,3.227
1698138204621824979,3.227
1698138204648514986,3.227
1698138204721420049,3.227
1698138204748399019,3.227
1698138204821847915,3.227
1698138204848592996,3.227
1698138204921619892,3.227
1698138204948488950,3.227
1698138205021920919,3.227
1698138205048259019,3.227
1698138205121571063,3.227
1698138205148631095,3.227
1698138205221458911,3.227
1698138205248194932,3.227
1698138205321645021,3.227
1698138205348336935,3.227
1698138205421932935,3.227
1698138205448250055,3.227
1698138205521610975,3.227
1698138205548357009,3.227
1698138205621789932,3.227
1698138205648381948,3.227
1698138205721698999,3.227
1698138205748383998,3.227
1698138205821583032,3.227
1698138205848340988,3.227
1698138205921621084,3.227
1698138205948733091,3.227
1698138206021723985,3.227
1698138206048325061,3.227
1698138206121640920,3.227
1698138206148441076,3.227
1698138206222242116,3.227
1698138206248286962,3.227
1698138206321599006,3.227
1698138206348390102,3.227
1698138206421871900,3.227
1698138206448820114,3.227
1698138206521754980,3.227
1698138206548758029,3.227
1698138206622004985,3.227
1698138206648152112,3.227
1698138206721555948,3.227
1698138206748420000,3.227
1698138206821650028,3.227
1698138206848432064,3.227
1698138206921768903,3.227
1698138206948487997,3.227
1698138207021729946,3.227
1698138207048597097,3.227
1698138207122041940,3.227
1698138207148446083,3.227
1698138207221075057,3.227
1698138207248325109,3.227
1698138207320905923,3.227
1698138207348213911,3.227
1698138207422092914,3.227
1698138207448234081,3.227
1698138207521939992,3.227
1698138207548712015,3.227
1698138207621658086,3.227
1698138207648277997,3.227
1698138207721760988,3.227
1698138207748344898,3.227
1698138207821979999,3.227
1698138207848459005,3.227
1698138207921829938,3.227
1698138207948390960,3.227
1698138208021724939,3.227
1698138208048214912,3.227
1698138208121646881,3.227
1698138208148389101,3.227
1698138208221570968,3.227
1698138208248121976,3.227
1698138208321491003,3.227
1698138208348553895,3.227
1698138208421571969,3.227
1698138208448314905,3.227
1698138208521718978,3.227
1698138208548604965,3.227
1698138208621896028,3.227
1698138208648260116,3.227
1698138208721606016,3.227
1698138208748379945,3.227
1698138208821599960,3.227
1698138208848357915,3.227
1698138208921662092,3.227
1698138208948411941,3.227
1698138209021713972,3.227
1698138209048429012,3.227
1698138209121982097,3.227
1698138209148893117,3.227
1698138209221796989,3.227
1698138209248435974,3.227
1698138209321687936,3.227
1698138209348448038,3.227
1698138209421746015,3.227
1698138209448448896,3.227
1698138209521743059,3.227
1698138209548459053,3.227
1698138209621886014,3.227
1698138209648050069,3.227
1698138209721684932,3.227
1698138209748713016,3.227
1698138209821765899,3.227
1698138209848228931,3.227
1698138209921442031,3.227
1698138209948646068,3.227
1698138210021583080,3.227
1698138210048448085,3.227
1698138210121632099,3.227
1698138210148674011,3.227
1698138210221571922,3.227
1698138210248317003,3.227
1698138210321773052,3.227
1698138210348305940,3.227
1698138210421844959,3.227
1698138210448653936,3.227
1698138210521636009,3.227
1698138210548594951,3.227
1698138210621928930,3.227
1698138210648226976,3.227
1698138210721688032,3.227
1698138210748464107,3.227
1698138210821851015,3.227
1698138210848309993,3.227
1698138210921961069,3.227
1698138210948617935,3.227
1698138211021676063,3.227
1698138211048602104,3.227
1698138211121783971,3.227
1698138211148658037,3.227
1698138211221666097,3.227
1698138211248094081,3.227
1698138211321572065,3.227
1698138211348316907,3.227
1698138211422110080,3.227
1698138211448365926,3.227
1698138211522032976,3.227
1698138211548679113,3.227
1698138211621618032,3.227
1698138211648304939,3.227
1698138211721690893,3.227
1698138211748421907,3.227
1698138211821784973,3.227
1698138211848292112,3.227
1698138211921786069,3.227
1698138211948704004,3.227
1698138212021615982,3.227
1698138212048410892,3.227
1698138212121632099,3.227
1698138212148497104,3.227
1698138212221252918,3.227
1698138212248317956,3.227
1698138212321700096,3.227
1698138212348612070,3.227
1698138212421478986,3.227
1698138212448159933,3.227
1698138212521637916,3.227
1698138212548454999,3.227
1698138212621792078,3.227
1698138212648189067,3.227
1698138212721626043,3.227
1698138212748267889,3.227
1698138212821643114,3.227
1698138212848628997,3.227
1698138212921502113,3.227
1698138212948271989,3.227
1698138213021744012,3.227
1698138213048403978,3.227
1698138213121768951,3.227
1698138213148639917,3.227
1698138213221815109,3.227
1698138213248384952,3.227
1698138213321703910,3.227
1698138213348186969,3.227
1698138213421643972,3.227
1698138213448189973,3.227
1698138213521748065,3.227
1698138213548813104,3.227
1698138213621670961,3.227
1698138213648477077,3.227
1698138213721683979,3.227
1698138213748364925,3.227
1698138213821793079,3.227
1698138213848251104,3.227
1698138213921801090,3.227
1698138213948446035,3.227
1698138214021792888,3.227
1698138214048444032,3.227
1698138214122097015,3.227
1698138214148315906,3.227
1698138214221800088,3.227
1698138214248600006,3.227
1698138214321873903,3.227
1698138214348469972,3.227
1698138214421580076,3.227
1698138214448592901,3.227
1698138214521784067,3.227
1698138214548285961,3.227
1698138214621567010,3.227
1698138214648478031,3.227
1698138214721642971,3.227
1698138214748758077,3.227
1698138214821549892,3.227
1698138214848331928,3.227
1698138214921416044,3.227
1698138214948651075,3.227
1698138215021670103,3.227
1698138215048384904,3.227
1698138215121520996,3.227
1698138215148447990,3.227
1698138215221930027,3.227
1698138215248330116,3.227
1698138215321660041,3.227
1698138215348186969,3.227
1698138215421848058,3.227
1698138215448301076,3.227
1698138215521647930,3.227
1698138215548489093,3.227
1698138215621603012,3.227
1698138215648538112,3.227
1698138215721662998,3.227
1698138215748632907,3.227
1698138215821930885,3.227
1698138215848381996,3.227
1698138215921688079,3.227
1698138215948462009,3.227
1698138216021606922,3.227
1698138216048300981,3.227
1698138216121691942,3.227
1698138216148458003,3.227
1698138216221766948,3.227
1698138216248558998,3.227
1698138216321907997,3.227
1698138216348725080,3.227
1698138216421515941,3.227
1698138216448410034,3.227
1698138216521636962,3.227
1698138216548578977,3.227
1698138216621634960,3.227
1698138216648329973,3.227
1698138216721457958,3.227
1698138216748375892,3.227
1698138216821572065,3.227
1698138216848495960,3.227
1698138216921555995,3.227
1698138216948168992,3.227
1698138217021944999,3.227
1698138217048245906,3.227
1698138217121609926,3.227
1698138217148813962,3.227
1698138217221731901,3.227
1698138217248439073,3.227
1698138217321682929,3.227
1698138217348229885,3.227
1698138217421617984,3.227
1698138217448132038,3.227
1698138217521399974,3.227
1698138217548424959,3.227
1698138217621602058,3.227
1698138217648142099,3.227
1698138217721776008,3.227
1698138217748419046,3.227
1698138217821715116,3.227
1698138217848723888,3.227
1698138217921679973,3.227
1698138217948410987,3.227
1698138218021600008,3.227
1698138218048299074,3.227
1698138218121639966,3.227
1698138218148449897,3.227
1698138218221647024,3.227
1698138218248295068,3.227
1698138218321455001,3.227
1698138218348336935,3.227
1698138218421509027,3.227
1698138218448574066,3.227
1698138218521498918,3.227
1698138218548742055,3.227
1698138218621442079,3.227
1698138218648152112,3.227
1698138218721610069,3.227
1698138218748855113,3.227
1698138218821528911,3.227
1698138218848530054,3.227
1698138218921704053,3.227
1698138218948406934,3.227
1698138219021472930,3.227
1698138219048333883,3.227
1698138219121293067,3.227
1698138219148425102,3.227
1698138219221615076,3.227
1698138219248229980,3.227
1698138219321624994,3.227
1698138219348300933,3.227
1698138219421433925,3.227
1698138219448189973,3.227
1698138219521334886,3.227
1698138219548342943,3.227
1698138219621398925,3.227
1698138219648308992,3.227
1698138219721601009,3.227
1698138219748204946,3.227
1698138219821784019,3.227
1698138219848331928,3.227
1698138219921680927,3.227
1698138219948731899,3.227
1698138220021754026,3.227
1698138220048459053,3.227
1698138220121499061,3.227
1698138220148468017,3.227
1698138220222068071,3.227
1698138220248301029,3.227
1698138220321810007,3.227
1698138220348679065,3.227
1698138220421456098,3.227
1698138220448198080,3.227
1698138220521892070,3.227
1698138220548516035,3.227
1698138220621790885,3.227
1698138220648320913,3.227
1698138220721746921,3.227
1698138220748498916,3.227
1698138220821892976,3.227
1698138220848351001,3.227
1698138220921710968,3.227
1698138220948335886,3.227
1698138221021675109,3.227
1698138221048120975,3.227
1698138221121639966,3.227
1698138221148638963,3.227
1698138221221668004,3.227
1698138221248404979,3.227
1698138221321588993,3.227
1698138221348351955,3.227
1698138221421773910,3.227
1698138221448287010,3.227
1698138221521908044,3.227
1698138221548160076,3.227
1698138221622011899,3.227
1698138221648264884,3.227
1698138221721668958,3.227
1698138221748343944,3.227
1698138221821619987,3.227
1698138221848478078,3.227
1698138221921353101,3.227
1698138221948415040,3.227
1698138222021470069,3.227
1698138222048641920,3.227
1698138222121581077,3.227
1698138222148401975,3.227
1698138222221601963,3.227
1698138222248564004,3.227
1698138222321552038,3.227
1698138222348294019,3.227
1698138222421264886,3.227
1698138222448371887,3.227
1698138222521574020,3.227
1698138222548532009,3.227
1698138222621817111,3.227
1698138222648413896,3.227
1698138222721349000,3.227
1698138222748389005,3.227
1698138222821399927,3.227
1698138222848141908,3.227
1698138222921468973,3.227
1698138222948640108,3.227
1698138223021817922,3.227
1698138223048283100,3.227
1698138223121725082,3.227
1698138223148369073,3.227
1698138223221658945,3.227
1698138223248235940,3.227
1698138223321634054,3.227
1698138223348460912,3.227
1698138223421477079,3.227
1698138223448085069,3.227
1698138223521420001,3.227
1698138223548453092,3.227
1698138223621786117,3.227
1698138223648356914,3.227
1698138223721708059,3.227
1698138223748368978,3.227
1698138223821588993,3.227
1698138223848315954,3.227
1698138223921542882,3.227
1698138223948729038,3.227
1698138224021598100,3.227
1698138224048444032,3.227
1698138224121648073,3.227
1698138224148365974,3.227
1698138224221607923,3.227
1698138224248229980,3.227
1698138224321546077,3.227
1698138224348498106,3.227
1698138224421436071,3.227
1698138224448374986,3.227
1698138224521503925,3.227
1698138224548171043,3.227
1698138224621473073,3.227
1698138224648245096,3.227
1698138224721523046,3.227
1698138224748639106,3.227
1698138224821626901,3.227
1698138224848382949,3.227
1698138224921686887,3.227
1698138224948523044,3.227
1698138225021505117,3.227
1698138225048269987,3.227
1698138225121630907,3.227
1698138225148495912,3.227
1698138225221405982,3.227
1698138225248321056,3.227
1698138225321517944,3.227
1698138225348258972,3.227
1698138225421601057,3.227
1698138225448658943,3.227
1698138225521750926,3.227
1698138225548333883,3.227
1698138225621638059,3.227
1698138225648473024,3.227
1698138225721440076,3.227
1698138225748716115,3.227
1698138225821549892,3.227
1698138225848193883,3.227
1698138225921591997,3.227
1698138225948524951,3.227
1698138226021645069,3.227
1698138226048528909,3.227
1698138226121437072,3.227
1698138226148351907,3.227
1698138226221445083,3.227
1698138226248332023,3.227
1698138226321659088,3.227
1698138226348475933,3.227
1698138226421813011,3.227
1698138226448497056,3.227
1698138226521444082,3.227
1698138226548511981,3.227
1698138226621475934,3.227
1698138226648576021,3.227
1698138226721415996,3.227
1698138226748481035,3.227
1698138226821520090,3.227
1698138226848694086,3.227
1698138226921749114,3.227
1698138226948365926,3.227
1698138227021792888,3.227
1698138227048209905,3.227
1698138227121776103,3.227
1698138227148571014,3.227
1698138227221677064,3.227
1698138227248289108,3.227
1698138227321362972,3.227
1698138227348294019,3.227
1698138227421437978,3.227
1698138227448080062,3.227
1698138227521766901,3.227
1698138227548715114,3.227
1698138227621429920,3.227
1698138227648267984,3.227
1698138227721661090,3.227
1698138227748454093,3.227
1698138227821486949,3.227
1698138227848329067,3.227
1698138227921920061,3.227
1698138227948584079,3.227
1698138228021910905,3.227
1698138228048377037,3.227
1698138228121578931,3.227
1698138228148318052,3.227
1698138228221496105,3.227
1698138228248128890,3.227
1698138228321854114,3.227
1698138228348737001,3.227
1698138228421546936,3.227
1698138228448278903,3.227
1698138228521626949,3.227
1698138228548299074,3.227
1698138228621721982,3.227
1698138228648350000,3.227
1698138228721668004,3.227
1698138228748573064,3.227
1698138228821718931,3.227
1698138228848212003,3.227
1698138228921643972,3.227
1698138228948220014,3.227
1698138229021619081,3.227
1698138229048217058,3.227
1698138229121573925,3.227
1698138229148494958,3.227
1698138229221669912,3.227
1698138229248361110,3.227
1698138229321573972,3.227
1698138229348181009,3.227
1698138229421780109,3.227
1698138229448263883,3.227
1698138229521497011,3.227
1698138229548425912,3.227
1698138229621829032,3.227
1698138229648621082,3.227
1698138229722012996,3.227
1698138229748420953,3.227
1698138229821518898,3.227
1698138229848261117,3.227
1698138229921300888,3.227
1698138229948549032,3.227
1698138230021502971,3.227
1698138230048381090,3.227
1698138230121483087,3.227
1698138230148277997,3.227
1698138230221312999,3.227
1698138230248259067,3.227
1698138230321367025,3.227
1698138230348429918,3.227
1698138230421485900,3.227
1698138230448568105,3.227
1698138230521507024,3.227
1698138230548566102,3.227
1698138230621526956,3.227
1698138230648479938,3.227
1698138230721352100,3.227
1698138230748529911,3.227
1698138230821564912,3.227
1698138230848534107,3.227
1698138230921473026,3.227
1698138230948208093,3.227
1698138231021456003,3.227
1698138231048264026,3.227
1698138231121587991,3.227
1698138231148535013,3.227
1698138231221575021,3.227
1698138231248450040,3.227
1698138231321628093,3.227
1698138231348376035,3.227
1698138231421722888,3.227
1698138231448241949,3.227
1698138231521752119,3.227
1698138231548666000,3.227
1698138231621875047,3.227
1698138231648521900,3.227
1698138231721688985,3.227
1698138231748684883,3.227
1698138231821331024,3.227
1698138231848448038,3.227
1698138231921650886,3.227
1698138231948406934,3.227
1698138232021395921,3.227
1698138232048461914,3.227
1698138232121555089,3.227
1698138232148262023,3.227
1698138232221715927,3.227
1698138232248480081,3.227
1698138232321573019,3.227
1698138232348232030,3.227
1698138232421557903,3.227
1698138232448679924,3.227
1698138232521672964,3.227
1698138232548422098,3.227
1698138232621548891,3.227
1698138232648500919,3.227
1698138232721565008,3.227
1698138232748233079,3.227
1698138232821705102,3.227
1698138232848495006,3.227
1698138232921808004,3.227
1698138232948266029,3.227
1698138233021697044,3.227
1698138233048532009,3.227
1698138233121844053,3.227
1698138233148613929,3.227
1698138233222117900,3.227
1698138233248337030,3.227
1698138233321506977,3.227
1698138233348403930,3.227
1698138233421356916,3.227
1698138233448407888,3.227
1698138233521747112,3.227
1698138233548450946,3.227
1698138233621731042,3.227
1698138233648154973,3.227
1698138233721527099,3.227
1698138233748486042,3.227
1698138233821512937,3.227
1698138233848299026,3.227
1698138233921494007,3.227
1698138233948056936,3.227
1698138234021555900,3.227
1698138234048486948,3.227
1698138234121622085,3.227
1698138234148507118,3.227
1698138234221354007,3.227
1698138234248471975,3.227
1698138234321767091,3.227
1698138234348352909,3.227
1698138234421237945,3.227
1698138234448306083,3.227
1698138234521610975,3.227
1698138234548203945,3.227
1698138234621387958,3.227
1698138234648408889,3.227
1698138234721509933,3.227
1698138234748244047,3.227
1698138234821690082,3.227
1698138234848339080,3.227
