%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4
1698139387947472095,14915,1698139387947472095,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922547580957,261,1698137922547580957,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388047578096,14916,1698139388047578096,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922647567033,262,1698137922647567033,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388147567033,14917,1698139388147567033,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922747648954,263,1698137922747648954,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388247427940,14918,1698139388247427940,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922847587108,264,1698137922847587108,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388347640991,14919,1698139388347640991,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922947659015,265,1698137922947659015,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388447477102,14920,1698139388447477102,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923047687053,266,1698137923047687053,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388547431945,14921,1698139388547431945,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923147591114,267,1698137923147591114,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388647567987,14922,1698139388647567987,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923247425079,268,1698137923247425079,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388747560977,14923,1698139388747560977,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923347460031,269,1698137923347460031,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388847414016,14924,1698139388847414016,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923447662115,270,1698137923447662115,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139388947568893,14925,1698139388947568893,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923547578096,271,1698137923547578096,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389047472953,14926,1698139389047472953,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923647536039,272,1698137923647536039,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389147463083,14927,1698139389147463083,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923747610092,273,1698137923747610092,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389247648000,14928,1698139389247648000,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923847660064,274,1698137923847660064,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389347765922,14929,1698139389347765922,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137923947587013,275,1698137923947587013,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389447470903,14930,1698139389447470903,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924047557115,276,1698137924047557115,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389547527074,14931,1698139389547527074,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924147608041,277,1698137924147608041,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389647486925,14932,1698139389647486925,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924247567892,278,1698137924247567892,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389747598886,14933,1698139389747598886,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924347614049,279,1698137924347614049,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389847503900,14934,1698139389847503900,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924447473049,280,1698137924447473049,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139389947720050,14935,1698139389947720050,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924547554969,281,1698137924547554969,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390047451019,14936,1698139390047451019,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924647494077,282,1698137924647494077,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
